survived	fare	residence	class_level	age
1	146.5208	0	1	NA
0	8.05	1	3	32
1	30.5	2	1	32
0	7.8958	2	3	NA
0	8.6625	2	3	33
1	7.55	1	3	23
0	8.05	1	3	21
0	15.0458	0	2	41
0	26.55	1	1	62
1	55.4417	0	1	54
1	55.4417	0	1	43
1	78.2667	2	1	52
0	27.7208	0	1	NA
0	10.5	1	2	25
1	80	0	1	62
0	NA	1	3	60.5
0	7.8958	2	3	19
0	9.8375	2	3	22
1	7.925	2	3	31
0	221.7792	0	1	67
0	221.7792	0	1	63
0	8.6625	2	3	27
0	10.4625	0	3	2
0	10.4625	2	3	29
1	8.05	1	3	16
1	7.925	2	3	44
0	7.05	1	3	25
0	32.3208	0	1	61
0	7.775	2	3	74
1	9.225	2	3	14
0	7.7958	2	3	24
0	13	1	2	18.5
0	65	1	2	14
1	25.9292	0	1	48
1	79.65	0	1	18
0	79.65	0	1	52
1	79.65	0	1	39
1	52	0	1	48
1	52	0	1	NA
1	7.7958	2	3	25
0	110.8833	0	1	49
1	110.8833	0	1	17
1	110.8833	0	1	39
0	8.05	1	3	34
1	8.5167	2	3	0.4167
0	6.4375	2	3	NA
0	6.4375	2	3	NA
0	7.225	2	3	NA
1	8.5167	2	3	16
0	8.05	2	3	NA
1	79.2	0	1	NA
0	16.1	2	3	NA
1	16.1	1	3	NA
0	7.925	2	3	32
0	7.75	2	3	NA
0	7.8958	2	3	NA
0	8.05	1	3	30.5
1	10.5	0	2	50
0	8.05	1	3	44
0	7.2292	2	3	NA
1	0	2	3	25
0	7.2292	2	3	NA
1	15.2458	2	3	7
1	15.2458	2	3	9
1	15.2458	2	3	29
0	13	1	2	23
1	12.65	0	2	28
1	10.5	1	2	27
1	28.5375	0	1	31
0	7.8958	2	3	36
1	9.8417	2	3	18
1	9.5875	2	3	63
0	21	1	2	29
0	21	1	2	27
0	27.7208	2	1	40
0	14.5	1	3	NA
0	14.5	1	3	11.5
0	14.5	1	3	40.5
0	33.5	0	1	61
0	24.15	2	3	10
0	24.15	2	3	36
0	24.15	2	3	30
0	9.5	2	3	NA
0	9.5	2	3	33
0	9.5	2	3	28
0	9.5	2	3	28
0	9	2	3	47
0	18	2	3	18
0	18	2	3	31
0	18	2	3	16
0	18	2	3	31
1	7.225	2	3	22
0	13	0	2	40
0	7.8542	2	3	20
0	7.8542	2	3	14
0	7.8958	2	3	22
0	9	2	3	22
1	21	2	2	31
0	34.0208	0	1	47
1	512.3292	2	1	35
0	8.05	1	3	NA
0	21	1	2	30
0	10.5	1	2	23
1	21	1	2	31
0	7.55	1	3	NA
0	75.25	0	1	64
1	75.25	0	1	60
0	0	2	2	NA
1	15.75	1	2	12
1	15.75	1	2	40
1	13	1	2	32.5
0	8.05	0	3	NA
0	26.55	0	1	60
0	26	1	2	27
1	26	1	2	29
1	23	1	2	2
1	23	1	2	4
1	23	1	2	29
0	9.5	2	3	32.5
1	27.75	1	2	0.9167
1	27.75	1	2	5
0	27.75	1	2	36
1	27.75	1	2	33
1	7.2292	2	3	38
0	10.5	2	2	66
0	12.875	1	2	NA
0	77.2875	0	1	54
0	77.2875	0	1	21
1	135.6333	2	1	55
1	164.8667	0	1	31
0	164.8667	0	1	57
1	164.8667	0	1	45
0	7.75	2	3	51
0	211.5	0	1	50
0	211.5	0	1	27
1	211.5	0	1	50
0	6.4958	2	3	18
0	6.4958	2	3	21
1	13	1	2	31
1	7	1	3	47
1	26.55	0	1	21
0	8.7125	2	3	NA
0	7.55	1	3	NA
0	35	2	1	NA
0	61.3792	1	1	51
1	13	1	2	NA
0	8.05	2	3	NA
0	16.1	2	3	28.5
1	61.3792	2	1	21
1	134.5	2	1	31
0	7.25	2	3	21
0	8.6625	2	3	27
0	7.25	1	3	NA
0	9.5	2	3	36
1	35.5	1	1	NA
1	13.5	1	2	26
0	26.55	2	1	62
0	14.4542	2	3	27
1	14.4542	2	3	15
1	135.6333	0	1	36
0	7.225	2	3	45.5
0	7.225	2	3	NA
0	14.4583	2	3	NA
0	13	2	2	24
0	14.4542	2	3	14.5
0	14.4542	2	3	NA
0	7.225	2	3	26.5
0	7.225	2	3	27
0	7.875	2	3	29
